"Age","Gender","Education","Country","Ethnicity","Nscore2","Escore2","Cscore2","Alcohol2","Cannabis2","Nicotine2","Opioid","Ascore2","Oscore2"
"35-44","Male","University degree","USA","White",39,29,47,"Used","Never Used","Never Used","Used",32,34
"18-24","Female","Some college or university, no certificate or degree","USA","White",25,54,48,"Used","Used","Used","Never Used",49,54
"25-34","Female","Left school at 17 years","USA","White",56,20,19,"Used","Used","Used","Used",28,42
"18-24","Male","Left school at 18 years","USA","Mixed-White/Black",38,40,48,"Used","Used","Used","Used",40,46
"25-34","Male","Left school at 16 years","USA","White",40,39,38,"Used","Used","Used","Used",42,45
"18-24","Female","Some college or university, no certificate or degree","USA","White",52,28,45,"Used","Used","Used","Never Used",53,45
"18-24","Male","Left school at 18 years","Canada","White",38,49,34,"Used","Used","Used","Used",41,58
"35-44","Male","Masters degree","UK","White",33,38,43,"Used","Used","Used","Used",38,41
"18-24","Male","Some college or university, no certificate or degree","Other","White",25,43,45,"Used","Used","Used","Used",34,53
"18-24","Male","Left school before 16 years","Australia","White",37,38,33,"Used","Used","Used","Used",46,46
"18-24","Male","Some college or university, no certificate or degree","USA","White",25,30,33,"Used","Used","Never Used","Never Used",35,41
"25-34","Male","Left school at 18 years","USA","White",48,31,36,"Used","Used","Used","Used",36,29
"18-24","Male","Left school at 16 years","USA","White",46,29,35,"Used","Used","Used","Used",44,48
"18-24","Male","Professional certificate/ diploma","USA","White",28,48,37,"Used","Used","Used","Never Used",50,50
"25-34","Male","Some college or university, no certificate or degree","USA","White",38,31,40,"Used","Used","Used","Used",38,52
"25-34","Male","Some college or university, no certificate or degree","USA","White",30,49,46,"Used","Used","Used","Never Used",53,56
"18-24","Female","Some college or university, no certificate or degree","UK","Other",33,46,40,"Used","Used","Used","Never Used",45,51
"35-44","Male","Left school at 16 years","UK","White",29,35,37,"Used","Used","Used","Never Used",44,42
"25-34","Female","University degree","Australia","White",43,35,45,"Used","Used","Used","Never Used",49,54
"18-24","Female","Left school at 17 years","USA","White",47,26,36,"Used","Used","Used","Used",50,46
"18-24","Female","University degree","UK","White",33,40,54,"Used","Used","Never Used","Never Used",47,53
"18-24","Female","Some college or university, no certificate or degree","USA","White",24,47,36,"Used","Used","Used","Used",45,54
"18-24","Female","Some college or university, no certificate or degree","USA","White",56,35,36,"Used","Used","Used","Used",44,48
"18-24","Male","Professional certificate/ diploma","UK","White",40,48,39,"Used","Used","Used","Used",43,53
"18-24","Male","Some college or university, no certificate or degree","Other","White",35,42,35,"Used","Used","Used","Never Used",47,50
"18-24","Female","University degree","UK","White",39,42,47,"Used","Used","Used","Never Used",39,46
"18-24","Male","Some college or university, no certificate or degree","Other","White",40,37,41,"Used","Used","Used","Never Used",33,53
"25-34","Female","Left school at 18 years","Other","White",45,48,51,"Used","Used","Used","Used",38,53
"25-34","Male","Professional certificate/ diploma","USA","Other",31,54,50,"Used","Used","Used","Never Used",51,59
"18-24","Female","Some college or university, no certificate or degree","USA","Mixed-White/Asian",51,34,33,"Used","Used","Never Used","Used",46,50
"25-34","Female","Masters degree","USA","White",46,38,32,"Used","Used","Used","Used",48,49
"18-24","Female","Some college or university, no certificate or degree","USA","White",32,32,35,"Used","Used","Used","Never Used",52,42
"18-24","Male","Left school at 18 years","USA","White",29,38,30,"Used","Used","Used","Used",38,38
"25-34","Male","Professional certificate/ diploma","UK","White",55,30,29,"Used","Used","Never Used","Used",41,47
"25-34","Female","Left school at 18 years","Canada","White",40,40,47,"Used","Used","Never Used","Used",41,29
"35-44","Male","Professional certificate/ diploma","USA","White",51,27,30,"Used","Used","Used","Never Used",44,46
"18-24","Female","University degree","USA","White",42,40,37,"Used","Used","Used","Never Used",40,49
"18-24","Female","Some college or university, no certificate or degree","USA","White",25,42,41,"Used","Used","Used","Never Used",47,57
"18-24","Male","Some college or university, no certificate or degree","USA","White",40,41,40,"Used","Used","Used","Used",41,48
"25-34","Female","University degree","UK","White",46,33,29,"Used","Used","Used","Never Used",41,46
"18-24","Male","Some college or university, no certificate or degree","Other","White",49,34,36,"Never Used","Used","Used","Never Used",42,44
"18-24","Male","Professional certificate/ diploma","USA","White",53,36,20,"Used","Used","Used","Used",33,46
"45-54","Male","University degree","USA","White",25,36,45,"Used","Used","Used","Never Used",44,42
"35-44","Male","Professional certificate/ diploma","UK","White",23,38,50,"Used","Used","Used","Never Used",51,47
"18-24","Male","Some college or university, no certificate or degree","Other","White",33,50,54,"Used","Used","Used","Never Used",35,46
"18-24","Female","University degree","Other","White",36,41,37,"Used","Never Used","Used","Used",50,55
"45-54","Female","Some college or university, no certificate or degree","USA","White",35,35,39,"Used","Used","Used","Used",55,51
"18-24","Male","Professional certificate/ diploma","Australia","White",39,46,40,"Used","Used","Used","Never Used",45,53
"25-34","Male","Some college or university, no certificate or degree","USA","White",32,42,33,"Used","Used","Used","Used",48,57
"35-44","Male","Some college or university, no certificate or degree","UK","White",42,26,42,"Used","Used","Used","Used",44,46
"18-24","Male","Some college or university, no certificate or degree","USA","White",27,48,44,"Used","Used","Used","Never Used",48,43
"25-34","Female","Masters degree","USA","White",25,40,40,"Used","Used","Used","Used",46,51
"18-24","Male","Masters degree","UK","White",27,47,45,"Used","Used","Used","Never Used",45,46
"18-24","Female","Some college or university, no certificate or degree","USA","White",30,42,44,"Used","Used","Used","Used",50,50
"18-24","Female","Some college or university, no certificate or degree","USA","White",33,41,39,"Used","Used","Used","Never Used",52,57
"18-24","Male","Some college or university, no certificate or degree","USA","Black",22,48,48,"Used","Used","Used","Never Used",33,53
"55-64","Male","Doctorate degree","Other","Other",20,48,47,"Used","Used","Used","Used",50,50
"35-44","Female","University degree","Canada","White",38,40,38,"Used","Used","Used","Never Used",39,45
"25-34","Male","Some college or university, no certificate or degree","Canada","White",40,28,48,"Used","Used","Used","Never Used",36,50
"18-24","Male","Some college or university, no certificate or degree","USA","White",50,31,38,"Used","Used","Used","Used",44,38
"18-24","Male","Some college or university, no certificate or degree","USA","White",20,53,46,"Used","Used","Used","Never Used",52,54
"18-24","Male","Some college or university, no certificate or degree","USA","White",48,40,36,"Used","Used","Used","Never Used",35,53
"65+","Male","Masters degree","USA","White",18,40,47,"Used","Used","Used","Never Used",48,50
"18-24","Male","Some college or university, no certificate or degree","USA","White",30,47,42,"Never Used","Used","Never Used","Used",47,51
"35-44","Female","Masters degree","UK","White",30,49,39,"Used","Used","Used","Never Used",53,37
"45-54","Female","Some college or university, no certificate or degree","USA","White",48,32,47,"Used","Used","Used","Never Used",42,43
"25-34","Female","Doctorate degree","USA","Asian",42,41,40,"Used","Used","Used","Used",39,51
"18-24","Male","Some college or university, no certificate or degree","Other","White",40,39,45,"Used","Used","Used","Used",38,47
"18-24","Male","Some college or university, no certificate or degree","UK","White",46,47,34,"Used","Used","Used","Used",37,38
"25-34","Female","University degree","USA","White",42,39,49,"Used","Used","Used","Used",31,57
"18-24","Male","Some college or university, no certificate or degree","USA","White",34,39,41,"Used","Used","Used","Used",49,54
"18-24","Male","Some college or university, no certificate or degree","Other","White",34,42,35,"Used","Used","Used","Never Used",40,54
"18-24","Male","Professional certificate/ diploma","USA","White",43,34,44,"Used","Used","Never Used","Used",40,41
"25-34","Male","Some college or university, no certificate or degree","USA","White",52,44,25,"Used","Used","Used","Used",34,49
"18-24","Male","Some college or university, no certificate or degree","USA","White",46,29,35,"Used","Used","Used","Used",43,49
"25-34","Male","University degree","USA","White",28,40,40,"Used","Used","Used","Used",36,47
"18-24","Male","Some college or university, no certificate or degree","USA","White",52,36,39,"Used","Used","Used","Used",44,56
"18-24","Male","Some college or university, no certificate or degree","Australia","White",39,51,28,"Used","Used","Used","Used",38,48
"55-64","Male","Professional certificate/ diploma","Other","White",28,42,42,"Used","Used","Used","Never Used",44,50
"25-34","Male","University degree","UK","White",25,45,49,"Used","Used","Used","Never Used",56,55
"18-24","Male","Some college or university, no certificate or degree","USA","White",41,45,36,"Used","Used","Used","Used",49,51
"18-24","Male","Masters degree","Other","White",28,38,41,"Used","Used","Used","Never Used",37,44
"18-24","Male","Masters degree","UK","White",28,46,47,"Used","Used","Used","Never Used",46,43
"25-34","Male","Masters degree","UK","White",47,38,48,"Used","Used","Used","Never Used",39,52
"25-34","Female","Doctorate degree","USA","White",26,45,48,"Used","Used","Used","Never Used",42,44
"18-24","Male","Some college or university, no certificate or degree","USA","White",29,43,51,"Used","Used","Used","Used",44,45
"18-24","Male","Left school at 16 years","New Zeala","White",48,32,37,"Used","Used","Never Used","Never Used",42,44
"18-24","Male","Some college or university, no certificate or degree","USA","White",35,46,35,"Used","Used","Used","Never Used",27,37
"45-54","Female","Some college or university, no certificate or degree","Other","White",32,41,47,"Used","Used","Used","Never Used",46,47
"18-24","Male","Some college or university, no certificate or degree","Other","White",55,27,44,"Used","Used","Used","Never Used",33,44
"18-24","Male","Left school at 18 years","Canada","White",53,23,17,"Used","Used","Used","Used",40,38
"18-24","Male","Left school at 18 years","USA","Mixed-White/Black",44,29,29,"Used","Used","Used","Used",43,33
"18-24","Female","Left school at 18 years","USA","White",53,33,35,"Used","Never Used","Never Used","Never Used",44,52
"18-24","Male","Some college or university, no certificate or degree","USA","White",35,41,42,"Used","Used","Used","Used",49,56
"45-54","Male","Masters degree","Other","White",42,31,33,"Used","Used","Used","Never Used",40,42
"18-24","Female","Left school at 18 years","UK","White",48,46,40,"Used","Used","Used","Never Used",41,49
"45-54","Male","University degree","USA","White",29,40,45,"Used","Used","Used","Never Used",43,46
"18-24","Female","Some college or university, no certificate or degree","USA","White",30,49,36,"Used","Used","Used","Never Used",51,57
"25-34","Male","Some college or university, no certificate or degree","USA","White",53,31,31,"Used","Used","Used","Used",38,49
"18-24","Male","Some college or university, no certificate or degree","USA","White",42,42,41,"Used","Used","Used","Used",44,47
"25-34","Male","Some college or university, no certificate or degree","USA","White",28,53,37,"Used","Used","Used","Used",46,52
"45-54","Male","University degree","USA","White",25,44,50,"Used","Used","Used","Used",48,59
"18-24","Male","Professional certificate/ diploma","Other","White",18,55,52,"Used","Used","Used","Never Used",44,57
"25-34","Male","Some college or university, no certificate or degree","USA","White",39,20,22,"Used","Used","Used","Used",32,40
"18-24","Female","Left school at 18 years","UK","White",32,31,49,"Used","Used","Used","Never Used",46,39
"25-34","Male","Left school at 18 years","Other","White",38,50,42,"Never Used","Used","Never Used","Never Used",33,48
"35-44","Female","Some college or university, no certificate or degree","USA","White",45,30,36,"Used","Used","Used","Never Used",40,36
"18-24","Male","University degree","USA","White",37,33,47,"Used","Used","Used","Used",30,53
"18-24","Female","Some college or university, no certificate or degree","UK","White",55,19,23,"Used","Used","Used","Never Used",40,38
"18-24","Male","Left school at 18 years","Australia","White",49,39,39,"Used","Used","Used","Never Used",37,56
"18-24","Male","Some college or university, no certificate or degree","USA","White",29,38,23,"Used","Used","Used","Used",36,53
"18-24","Female","Left school at 18 years","USA","Other",39,32,37,"Used","Used","Used","Used",47,49
"18-24","Female","University degree","USA","White",25,33,39,"Used","Used","Used","Never Used",41,41
"45-54","Male","Doctorate degree","USA","White",37,42,42,"Used","Used","Never Used","Used",37,49
"35-44","Female","University degree","USA","Asian",42,42,46,"Used","Used","Used","Never Used",43,43
"18-24","Female","Masters degree","USA","White",32,45,50,"Used","Used","Used","Used",47,50
"18-24","Female","University degree","UK","White",41,33,39,"Used","Used","Used","Never Used",36,40
"18-24","Male","Some college or university, no certificate or degree","Australia","White",29,42,42,"Used","Used","Used","Never Used",50,50
"25-34","Male","Some college or university, no certificate or degree","UK","White",38,30,31,"Used","Used","Used","Used",36,45
"18-24","Male","Some college or university, no certificate or degree","USA","White",38,35,40,"Used","Used","Used","Never Used",39,47
"18-24","Female","Some college or university, no certificate or degree","UK","White",48,36,34,"Used","Used","Used","Never Used",39,49
"18-24","Male","Professional certificate/ diploma","UK","White",41,43,38,"Used","Used","Used","Never Used",43,57
"18-24","Female","Some college or university, no certificate or degree","USA","White",41,45,40,"Used","Used","Used","Used",42,52
"25-34","Male","Some college or university, no certificate or degree","USA","White",19,43,47,"Used","Used","Used","Used",47,50
"35-44","Female","Masters degree","USA","White",48,29,36,"Used","Used","Never Used","Never Used",58,46
"18-24","Female","Some college or university, no certificate or degree","USA","White",38,34,49,"Used","Used","Used","Never Used",56,51
"18-24","Male","Some college or university, no certificate or degree","USA","White",43,39,45,"Used","Used","Used","Used",38,50
"35-44","Female","Masters degree","UK","White",42,39,34,"Used","Used","Used","Never Used",42,32
"35-44","Male","University degree","UK","White",38,24,31,"Used","Never Used","Never Used","Never Used",34,31
"25-34","Male","Some college or university, no certificate or degree","Other","White",46,36,38,"Used","Used","Used","Never Used",49,47
"25-34","Female","Masters degree","UK","White",45,37,37,"Used","Used","Never Used","Never Used",48,36
"18-24","Male","Some college or university, no certificate or degree","UK","White",43,48,35,"Used","Used","Used","Used",49,55
"25-34","Female","Masters degree","USA","White",49,48,32,"Used","Used","Never Used","Used",26,57
"18-24","Male","Some college or university, no certificate or degree","USA","White",48,31,44,"Used","Used","Used","Used",43,49
"18-24","Male","Masters degree","UK","White",23,55,46,"Used","Used","Used","Never Used",38,49
"18-24","Male","Professional certificate/ diploma","UK","White",25,44,38,"Used","Used","Used","Never Used",45,46
"18-24","Female","Some college or university, no certificate or degree","USA","White",46,43,37,"Used","Used","Used","Never Used",53,55
"25-34","Male","Doctorate degree","Other","White",22,39,44,"Used","Used","Used","Used",30,51
"18-24","Male","Some college or university, no certificate or degree","USA","White",29,37,40,"Used","Used","Used","Never Used",41,39
"18-24","Male","Left school at 18 years","Canada","White",48,36,26,"Used","Used","Used","Used",30,35
"18-24","Female","Some college or university, no certificate or degree","USA","White",40,36,39,"Used","Used","Used","Never Used",41,49
"25-34","Male","Left school at 16 years","UK","White",28,48,46,"Used","Used","Used","Never Used",39,56
"25-34","Female","Some college or university, no certificate or degree","USA","White",38,39,51,"Used","Used","Used","Used",47,51
"35-44","Female","Left school at 18 years","USA","White",39,31,31,"Used","Used","Used","Used",31,38
"18-24","Male","University degree","USA","White",43,32,39,"Used","Used","Never Used","Never Used",40,37
"18-24","Male","Some college or university, no certificate or degree","USA","White",30,39,40,"Used","Used","Used","Used",49,51
"45-54","Female","Masters degree","Other","White",30,40,48,"Used","Used","Used","Never Used",47,56
"18-24","Female","Left school at 18 years","USA","Other",33,44,47,"Used","Never Used","Never Used","Never Used",44,36
"18-24","Female","University degree","USA","Mixed-Black/Asian",48,52,38,"Used","Used","Never Used","Never Used",42,56
"25-34","Male","Some college or university, no certificate or degree","USA","White",21,39,45,"Used","Used","Used","Never Used",33,52
"25-34","Male","Masters degree","Other","Other",29,44,46,"Used","Used","Used","Never Used",47,56
"18-24","Male","Some college or university, no certificate or degree","USA","White",13,43,33,"Used","Used","Used","Never Used",50,54
"35-44","Female","Left school at 17 years","Canada","White",48,35,52,"Used","Used","Used","Never Used",45,50
"35-44","Male","University degree","Canada","White",30,35,40,"Used","Never Used","Never Used","Never Used",41,29
"18-24","Male","Left school at 18 years","UK","White",21,46,35,"Used","Used","Used","Never Used",43,46
"25-34","Female","Doctorate degree","UK","White",27,40,54,"Used","Used","Used","Never Used",55,53
"25-34","Female","Masters degree","Other","Mixed-White/Black",35,30,50,"Used","Used","Never Used","Never Used",42,43
"18-24","Male","Masters degree","UK","White",40,40,43,"Used","Used","Never Used","Never Used",39,48
"18-24","Male","Some college or university, no certificate or degree","Republic","White",31,37,31,"Used","Used","Used","Never Used",44,53
"18-24","Female","Masters degree","UK","White",51,29,39,"Used","Never Used","Never Used","Never Used",45,45
"35-44","Female","Doctorate degree","UK","White",29,42,51,"Used","Never Used","Never Used","Never Used",41,46
"35-44","Male","Left school at 18 years","UK","White",39,35,41,"Used","Used","Used","Never Used",40,43
"18-24","Male","Left school at 17 years","UK","White",27,36,40,"Used","Used","Never Used","Never Used",51,51
"35-44","Female","Professional certificate/ diploma","Canada","White",40,40,41,"Used","Used","Used","Never Used",44,39
"25-34","Female","University degree","USA","White",53,26,44,"Used","Used","Used","Never Used",37,57
"45-54","Male","Professional certificate/ diploma","UK","White",22,46,44,"Used","Never Used","Never Used","Never Used",40,44
"35-44","Female","Professional certificate/ diploma","UK","White",41,30,33,"Used","Used","Never Used","Never Used",44,36
"25-34","Female","Masters degree","UK","Other",39,51,46,"Used","Never Used","Never Used","Never Used",45,45
"18-24","Female","Masters degree","UK","White",25,50,50,"Used","Never Used","Never Used","Never Used",50,48
"18-24","Male","Masters degree","UK","White",33,43,38,"Used","Used","Used","Never Used",45,44
"18-24","Female","Masters degree","UK","White",42,47,32,"Used","Never Used","Never Used","Never Used",40,40
"18-24","Female","University degree","UK","White",35,39,45,"Used","Used","Used","Never Used",45,49
"18-24","Female","Masters degree","UK","White",33,43,53,"Used","Never Used","Never Used","Never Used",42,52
"35-44","Male","Professional certificate/ diploma","Canada","White",34,39,46,"Used","Used","Used","Never Used",46,50
"18-24","Female","Masters degree","Other","White",35,46,44,"Used","Never Used","Never Used","Never Used",41,58
"18-24","Female","Masters degree","UK","White",41,43,44,"Used","Used","Used","Never Used",41,46
"25-34","Female","Masters degree","USA","White",31,39,48,"Used","Never Used","Never Used","Used",47,48
"25-34","Female","University degree","UK","White",26,49,40,"Used","Used","Used","Never Used",50,47
"18-24","Female","Masters degree","UK","White",42,49,38,"Used","Never Used","Never Used","Never Used",57,45
"45-54","Female","Left school at 16 years","UK","White",31,44,43,"Used","Used","Used","Used",50,38
"18-24","Male","University degree","Australia","White",21,34,32,"Used","Used","Never Used","Never Used",35,42
"25-34","Female","University degree","Australia","White",23,51,46,"Used","Used","Used","Never Used",39,40
"35-44","Male","Masters degree","UK","Asian",31,46,48,"Used","Never Used","Used","Never Used",43,47
"25-34","Male","Masters degree","UK","White",47,32,43,"Used","Used","Used","Never Used",43,40
"18-24","Male","Left school at 18 years","UK","White",30,35,33,"Used","Used","Used","Never Used",54,56
"25-34","Male","Some college or university, no certificate or degree","USA","White",27,40,37,"Used","Used","Used","Used",44,51
"18-24","Female","Some college or university, no certificate or degree","USA","White",36,37,37,"Used","Used","Never Used","Never Used",37,46
"18-24","Female","Masters degree","UK","White",24,48,46,"Used","Used","Used","Never Used",46,48
"18-24","Male","Some college or university, no certificate or degree","Other","White",30,43,28,"Used","Used","Used","Never Used",45,45
"18-24","Female","University degree","USA","White",39,39,50,"Used","Used","Used","Never Used",41,42
"18-24","Female","Masters degree","Other","White",28,39,39,"Used","Used","Used","Never Used",40,45
"18-24","Female","Left school at 18 years","USA","White",26,42,28,"Used","Used","Never Used","Never Used",37,57
"25-34","Male","Some college or university, no certificate or degree","Other","White",25,32,26,"Used","Used","Used","Never Used",35,51
"25-34","Female","Doctorate degree","UK","White",34,38,52,"Used","Used","Used","Never Used",56,43
"25-34","Female","Some college or university, no certificate or degree","Other","White",54,38,34,"Used","Used","Used","Used",35,49
"18-24","Male","University degree","UK","White",47,47,38,"Used","Used","Used","Never Used",42,53
"18-24","Male","Some college or university, no certificate or degree","UK","White",27,51,40,"Used","Used","Used","Never Used",51,55
"45-54","Male","Some college or university, no certificate or degree","USA","White",57,29,29,"Used","Used","Used","Used",44,33
"18-24","Female","Some college or university, no certificate or degree","USA","White",38,39,51,"Used","Used","Never Used","Never Used",56,44
"45-54","Male","Doctorate degree","USA","White",40,37,32,"Used","Used","Used","Used",45,50
"18-24","Male","Left school at 18 years","USA","White",27,31,46,"Used","Used","Used","Used",36,41
"18-24","Male","Some college or university, no certificate or degree","USA","White",12,43,54,"Used","Used","Used","Used",51,46
"45-54","Male","Left school at 16 years","UK","White",41,36,40,"Used","Used","Used","Never Used",26,49
"18-24","Male","Some college or university, no certificate or degree","USA","Other",45,40,31,"Used","Used","Used","Never Used",42,54
"18-24","Male","Some college or university, no certificate or degree","USA","White",51,31,37,"Used","Used","Used","Used",37,45
"25-34","Female","University degree","USA","White",21,55,40,"Used","Used","Used","Used",50,60
"18-24","Male","Some college or university, no certificate or degree","USA","White",46,37,34,"Used","Used","Used","Never Used",31,46
"25-34","Male","University degree","UK","White",26,48,47,"Used","Used","Used","Never Used",46,49
"25-34","Male","Some college or university, no certificate or degree","USA","White",32,21,40,"Used","Used","Used","Used",38,37
"18-24","Male","Left school at 16 years","Canada","White",35,26,39,"Used","Used","Used","Used",43,56
"25-34","Male","Professional certificate/ diploma","UK","White",43,33,32,"Used","Used","Used","Never Used",43,38
"25-34","Male","Left school at 18 years","UK","White",26,40,42,"Used","Used","Used","Never Used",46,29
"25-34","Male","Professional certificate/ diploma","USA","White",49,30,24,"Used","Used","Used","Used",42,43
"55-64","Male","Left school at 17 years","USA","White",41,37,46,"Used","Used","Used","Never Used",32,42
"18-24","Male","Some college or university, no certificate or degree","USA","White",49,33,36,"Used","Used","Used","Used",45,51
"18-24","Male","Some college or university, no certificate or degree","USA","White",46,25,32,"Used","Used","Used","Used",50,41
"18-24","Male","Some college or university, no certificate or degree","Other","White",22,31,28,"Used","Used","Used","Used",53,52
"18-24","Male","Some college or university, no certificate or degree","Other","White",40,41,27,"Used","Used","Used","Never Used",43,45
"25-34","Female","Professional certificate/ diploma","USA","White",56,45,28,"Used","Used","Used","Used",29,51
"25-34","Male","Masters degree","New Zeala","White",42,35,40,"Used","Used","Used","Used",35,47
"35-44","Male","Professional certificate/ diploma","Australia","White",24,41,44,"Used","Used","Used","Never Used",50,56
"18-24","Male","Masters degree","USA","White",40,48,38,"Used","Used","Used","Used",37,38
"18-24","Male","Left school at 18 years","USA","White",49,44,29,"Used","Used","Used","Used",34,44
"25-34","Female","Doctorate degree","UK","White",35,42,45,"Used","Never Used","Never Used","Never Used",43,40
"25-34","Female","University degree","Other","White",39,26,32,"Used","Never Used","Never Used","Never Used",47,46
"25-34","Male","Some college or university, no certificate or degree","USA","White",41,31,38,"Used","Used","Used","Used",16,49
"18-24","Female","Some college or university, no certificate or degree","USA","White",27,43,40,"Used","Used","Used","Used",52,47
"25-34","Female","University degree","Australia","White",51,28,30,"Used","Used","Used","Never Used",36,51
"35-44","Male","Professional certificate/ diploma","USA","White",40,31,46,"Used","Used","Used","Used",42,47
"18-24","Female","Some college or university, no certificate or degree","USA","White",54,26,33,"Used","Used","Used","Never Used",52,54
"45-54","Male","University degree","UK","White",38,32,37,"Used","Used","Used","Never Used",41,41
"18-24","Male","Some college or university, no certificate or degree","Republic","White",51,34,25,"Used","Used","Used","Never Used",35,41
"25-34","Male","Masters degree","USA","White",38,35,34,"Used","Used","Used","Used",43,48
"25-34","Male","University degree","USA","White",14,37,48,"Used","Used","Never Used","Never Used",33,38
"35-44","Male","Professional certificate/ diploma","USA","White",53,33,32,"Used","Used","Used","Used",33,47
"18-24","Male","Some college or university, no certificate or degree","USA","White",37,41,37,"Used","Used","Used","Used",39,47
"45-54","Female","Left school at 18 years","Australia","White",30,44,48,"Used","Used","Used","Never Used",46,44
"25-34","Male","Some college or university, no certificate or degree","USA","White",48,37,45,"Used","Used","Used","Never Used",50,50
"35-44","Female","University degree","USA","White",52,27,32,"Used","Used","Used","Never Used",41,42
"55-64","Female","Masters degree","USA","Other",39,35,40,"Used","Never Used","Used","Never Used",35,41
"18-24","Male","Left school at 18 years","Other","White",41,34,27,"Used","Used","Used","Used",42,45
"18-24","Female","Masters degree","UK","White",40,41,38,"Used","Used","Used","Never Used",48,48
"18-24","Male","Doctorate degree","UK","White",27,51,38,"Used","Used","Used","Never Used",53,56
"18-24","Female","Some college or university, no certificate or degree","UK","White",38,39,45,"Used","Used","Used","Never Used",39,44
"18-24","Male","Some college or university, no certificate or degree","UK","White",42,52,39,"Used","Used","Used","Never Used",46,57
"45-54","Male","Professional certificate/ diploma","Republic","White",31,40,48,"Used","Used","Used","Never Used",35,44
"25-34","Female","University degree","Canada","White",42,39,33,"Used","Used","Used","Never Used",43,47
"18-24","Male","Left school at 17 years","USA","Other",44,32,43,"Used","Used","Used","Never Used",37,36
"18-24","Male","Some college or university, no certificate or degree","USA","White",36,39,44,"Used","Used","Used","Used",44,56
"25-34","Female","Doctorate degree","UK","White",34,33,54,"Used","Never Used","Never Used","Never Used",49,48
"25-34","Male","Left school at 17 years","Australia","White",32,42,45,"Used","Used","Used","Never Used",44,46
"25-34","Male","Some college or university, no certificate or degree","USA","White",44,32,49,"Used","Used","Used","Used",39,49
"35-44","Male","University degree","USA","White",32,36,28,"Used","Used","Used","Never Used",48,52
"25-34","Male","University degree","USA","White",41,33,46,"Used","Used","Used","Never Used",41,53
"18-24","Male","Left school at 18 years","USA","White",44,38,34,"Used","Used","Used","Used",38,55
"45-54","Male","Professional certificate/ diploma","USA","White",40,39,34,"Used","Used","Used","Used",30,45
"35-44","Female","University degree","USA","White",25,48,44,"Used","Used","Used","Never Used",51,55
"35-44","Male","Some college or university, no certificate or degree","USA","White",37,36,43,"Used","Used","Used","Used",38,46
"18-24","Male","Some college or university, no certificate or degree","USA","White",33,41,48,"Used","Used","Used","Used",47,39
"18-24","Female","Some college or university, no certificate or degree","USA","White",40,41,46,"Used","Used","Used","Never Used",47,55
"18-24","Male","Some college or university, no certificate or degree","USA","Other",36,34,49,"Used","Used","Used","Used",41,52
"25-34","Male","Masters degree","USA","White",39,34,49,"Used","Used","Used","Never Used",37,46
"18-24","Male","Some college or university, no certificate or degree","USA","Other",23,40,40,"Used","Used","Never Used","Used",48,40
"18-24","Male","Some college or university, no certificate or degree","Other","White",44,39,35,"Used","Used","Never Used","Used",34,46
"25-34","Female","Some college or university, no certificate or degree","USA","White",31,42,43,"Used","Used","Never Used","Never Used",53,47
"25-34","Female","Masters degree","USA","White",55,43,32,"Used","Used","Used","Used",24,57
"18-24","Male","Some college or university, no certificate or degree","USA","White",28,38,40,"Never Used","Used","Never Used","Used",48,42
"18-24","Male","Some college or university, no certificate or degree","USA","White",34,28,40,"Used","Used","Never Used","Never Used",39,48
"25-34","Male","Some college or university, no certificate or degree","Other","White",52,37,34,"Used","Used","Used","Used",40,42
"25-34","Female","Professional certificate/ diploma","Australia","White",40,37,36,"Used","Used","Used","Used",56,42
"18-24","Male","University degree","USA","White",31,47,53,"Used","Used","Never Used","Never Used",41,52
"45-54","Male","Left school at 16 years","USA","White",34,31,44,"Used","Used","Used","Used",49,45
"18-24","Male","Some college or university, no certificate or degree","USA","White",44,38,35,"Used","Used","Used","Used",37,50
"18-24","Male","Some college or university, no certificate or degree","Other","White",26,44,36,"Used","Used","Used","Never Used",47,48
"25-34","Female","University degree","UK","White",48,38,42,"Used","Used","Used","Never Used",46,52
"55-64","Female","Doctorate degree","USA","White",32,43,42,"Used","Used","Used","Never Used",40,49
"18-24","Male","Some college or university, no certificate or degree","Canada","White",25,49,42,"Used","Used","Used","Never Used",39,49
"18-24","Male","Masters degree","USA","White",18,42,48,"Used","Used","Used","Never Used",54,51
"18-24","Female","Some college or university, no certificate or degree","USA","White",42,44,22,"Used","Never Used","Used","Used",44,49
"18-24","Male","Left school at 18 years","Canada","White",51,29,33,"Used","Used","Used","Never Used",46,49
"18-24","Male","Some college or university, no certificate or degree","USA","White",14,47,38,"Used","Used","Used","Never Used",53,53
"35-44","Male","University degree","USA","White",39,41,45,"Used","Never Used","Used","Never Used",36,51
"18-24","Male","Some college or university, no certificate or degree","USA","White",45,37,29,"Used","Used","Used","Never Used",40,46
"18-24","Male","Some college or university, no certificate or degree","USA","White",41,38,38,"Used","Used","Used","Never Used",38,42
"25-34","Male","University degree","Canada","White",27,38,40,"Never Used","Never Used","Never Used","Used",30,45
"25-34","Male","Left school at 16 years","USA","White",32,21,44,"Used","Used","Used","Used",43,41
"18-24","Male","Some college or university, no certificate or degree","USA","White",55,19,27,"Used","Used","Used","Never Used",45,37
"25-34","Female","University degree","Other","White",37,28,29,"Used","Never Used","Never Used","Never Used",49,49
"18-24","Male","Some college or university, no certificate or degree","USA","White",39,46,37,"Used","Used","Used","Used",38,57
